,weight,lifespan,size,breed
117,24--35,15--17 ,16--19,lagot-romagnolo
118,17--17,12--15 ,14.5--15 ,lakeland-terrier
119,70--70,10--14 ,18--20 ,lapponian-herder
120,90--170,6--7 ,25.5--31.5 ,leonberger
121,12--18,12--15 ,10--11 ,lhasa-apso
122,0--7,12--15 ,7--9 ,maltese
123,120--230,6--10 ,27.5--30 ,mastiff
124,20--40,12--13 ,13--18 ,miniature-american-shepherd
125,18--28,11--13 ,10--14 ,miniature-bull-terrier
126,8--10,12--16 ,10--12.5 ,miniature-pinscher
127,11--20,12--15 ,12--14 ,miniature-schnauzer
128,18--29,12--14 ,15--18.5 ,mudi
129,0--160,8--15 ,17--19 ,mutt
130,110--150,7--9 ,24--31 ,neapolitan-mastiff
131,100--150,9--10 ,26--28 ,newfoundland-dog
132,11--12,12--16 ,9--10 ,norfolk-terrier
133,48--55,12--15 ,19.5--20.5 ,norwegian-elkhound
134,20--30,12--15 ,12--15 ,norwegian-lundehund
135,12--12,12--15 ,10--11 ,norwich-terrier
136,30--50,12--14 ,17--21 ,nova-scotia-duck-lling-retriever
137,60--100,10--12 ,21--22 ,old-english-sheepdog
138,5--10,14--16 ,8--11 ,papillon
139,0--14,12--14 ,6--9 ,pekingese
140,28--30,12--13 ,10--12 ,pembroke-welsh-corgi
141,45--55,12--14 ,21--25 ,pharaoh-hound
142,45--75,12--17 ,23--28 ,pointer
143,30--50,12--14 ,17--20 ,polish-lowland-sheepdog
144,3--7,12--16 ,6--7 ,pomeranian
145,35--66,10--15 ,16--22 ,portuguese-podengo
146,45--70,13--14 ,22--26 ,pudelpointer
147,14--18,13--15 ,10--13 ,pug
148,25--35,10--15 ,16--17 ,puli
149,22--29,12--13 ,15--18.5 ,pumi
150,120--240,10--13 ,25--31 ,pyrenean-mastiff
151,15--30,17--19 ,15.5--21 ,pyrenean-shepherd
152,10--25,12--18 ,10--18 ,rat-terrier
153,45--70,12--15 ,21--27 ,redbone-coonhound
154,70--80,12--13 ,24--27 ,rhodesian-ridgeback
155,80--135,9--10 ,22--27 ,rottweiler
156,0--6.5,12--14 ,8--11 ,russian-y
157,6--9,14--20 ,10--11 ,russian-tsvetnaya-bolonka
158,120--180,8--10 ,26--30 ,saint-bernard
159,40--45,10--17 ,22--28 ,saluki
160,35--65,12--14 ,19--23.5 ,samoyed
161,26--55,12--15 ,16--20 ,schapendoes
162,10--16,12--14 ,10--13 ,schipperke
163,75--110,8--11 ,28--32 ,scottish-deerhound
164,18--22 ,11--12 ,9--10 ,scottish-terrier
165,20--24,12--14 ,10--10.5 ,sealyham-terrier
166,39--62,11--13 ,19--24.5,segugio-italiano
167,15--25,12--14 ,13--16 ,shetland-sheepdog
168,17--23,13--16 ,13.5--16.5 ,shiba-inu
169,9--16,10--18 ,9--10.5,shih-tzu
170,35--55,10--12 ,17--22 ,shikoku
171,35--60,12--14 ,20--23.5,siberian-husky
172,8--10,12--15 ,9--10 ,silky-terrier
173,35--45,12--14 ,9.5--10 ,skye-terrier
174,35--50,10--15 ,24--29 ,sloughi
175,50--65,12--15 ,22.5--26.5 ,slovakian-wirehaired-pointer
176,68--97,11--13 ,23--27.5 ,slovensky-cuvac
177,33--44,12--13 ,16--20 ,slovensky-kopov
178,40--60,12--14 ,20.5--21 ,small-munsterlander
179,15--18,12--15 ,10--15.5,smooth-fox-terrier
180,30--40,12--14 ,17--19 ,soft-coated-wheaten-terrier
181,28--35,10--12 ,140--200,spanish-mastiff
182,31--49,12--14 ,15.75--19.75 ,spanish-water-dog
183,5--60,10--12 ,22--27 ,spinone-italiano
184,40--60 ,13--15 ,19--21 ,stabyhouns
185,24--38,12--14 ,14--16 ,staffordshire-bull-terrier
186,30--50,13--16 ,17.5--19.5,standard-schnauzer
187,35--45,13--15 ,13--15 ,sussex-spaniel
188,30--45,12--14 ,16--20 ,swedish-lapphund
189,20--35,12--15 ,11.5--13.75 ,swedish-vallhund
190,26--40,9--13 ,17--20 ,taiwan-dog
191,8--25,14--16 ,8--14 ,teddy-roosevelt-terrier
192,35--75,12--13 ,20--24 ,thai-ridgeback
193,70--150,10--12 ,90--150,tibetan-mastiff
194,9--15,12--15 ,9--10 ,tibetan-spaniel
195,18--30,15--16 ,14--17 ,tibetan-terrier
196,62--110,12--14 ,23--28 ,rnjak
197,100--200,10--12 ,21.5--23.5 ,sa
198,4--9,13--15 ,8.5--11.5 ,y-fox-terrier
199,55--100,10--14 ,22--26 ,transylvanian-hound
200,30--50,10--12 ,16--24 ,treeing-tennessee-brindle
201,50--70,12--13 ,20--27 ,treeing-walker-coonhound
202,44--60,12--14 ,21--24 ,vizsla
203,8--16,12--15 ,10.5--12 ,volpino-italiano
204,55--90 ,10--13 ,23--27 ,weimaraner
205,35--55,12--15 ,17--19 ,welsh-springer-spaniel
206,0--20,12--15 ,14--15 ,welsh-terrier
207,15--20,13--15 ,10--11 ,west-highland-white-terrier
208,50--75,12--13 ,21.5--23 ,wetterhoun
209,25--40,12--15 ,18--22 ,whippet
210,15--18,12--15 ,10--15.5,wire-fox-terrier
211,35--70 ,12--15 ,20--24,wirehaired-pointing-griffon
212,45--65,12--14 ,21.5--25 ,wirehaired-vizsla
213,28--60,12--15 ,19--25 ,working-kelpie
214,10--55,13--18 ,10--23 ,xoloitzcuintli
215,40--55,10--12 ,21--23 ,yakutian-laika
216,0--7,11--15 ,7--8 ,yorkshire-terrier
